fieldName,fieldAlias,fieldType,tableHeader,category,indentLevel,universeField,rowID,groupID,chartCategory,chartType,canSum,parentField,percentOfField
BOAT_RV_VAN_ETC,"Boat, RV, van, etc.",Number,"Boat, RV, van, etc.",Housing,1,0,148,<span class='myHiddenClass'>13</span>Housing,,,TRUE,,TOTAL_HOUSING_UNITS
OCCUPIED_HU,Occupied Housing Units,Number,Occupied Housing Units,"Occupancy, Tenure, Value, and Rent",0,1,149,"<span class='myHiddenClass'>14</span>Occupancy, Tenure, Value, and Rent",Occupancy,pie,TRUE,,
AVG_HOUSEHOLD_SIZE,Average Household Size,Number,Average Household Size,"Occupancy, Tenure, Value, and Rent",2,0,150,"<span class='myHiddenClass'>14</span>Occupancy, Tenure, Value, and Rent",,,,,
OWNER_OCC_HU,Owner Occupied Housing Units,Number,Owner Occupied Housing Units,"Occupancy, Tenure, Value, and Rent",2,0,151,"<span class='myHiddenClass'>14</span>Occupancy, Tenure, Value, and Rent",,,TRUE,,OCCUPIED_HU
AVG_HH_SIZE_OWNER_HU,Average Household size of Owner Occupied Housing Units,Number,Average Household size of Owner Occupied Housing Units,"Occupancy, Tenure, Value, and Rent",3,0,152,"<span class='myHiddenClass'>14</span>Occupancy, Tenure, Value, and Rent",,,,,
MEDIAN_VALUE,Median Value (dollars),Currency,Median Value (dollars),"Occupancy, Tenure, Value, and Rent",3,0,153,"<span class='myHiddenClass'>14</span>Occupancy, Tenure, Value, and Rent",,,,,
RENTER_OCC_HU,Renter Occupied Housing Units,Number,Renter Occupied Housing Units,"Occupancy, Tenure, Value, and Rent",2,0,154,"<span class='myHiddenClass'>14</span>Occupancy, Tenure, Value, and Rent",,,TRUE,,OCCUPIED_HU
AVG_HH_SIZE_RENTER_HU,Average Household size of Renter Occupied Housing Units,Number,Average Household size of Renter Occupied Housing Units,"Occupancy, Tenure, Value, and Rent",3,0,155,"<span class='myHiddenClass'>14</span>Occupancy, Tenure, Value, and Rent",,,,,
MEDIAN_GROSS_RENT,Median Rent (dollars),Currency,Median Rent (dollars),"Occupancy, Tenure, Value, and Rent",3,0,156,"<span class='myHiddenClass'>14</span>Occupancy, Tenure, Value, and Rent",,,TRUE,,
VACANT_HU,Vacant Housing Units,Number,Vacant Housing Units,"Occupancy, Tenure, Value, and Rent",1,0,157,"<span class='myHiddenClass'>14</span>Occupancy, Tenure, Value, and Rent",Occupancy,pie,TRUE,,TOTAL_HOUSING_UNITS
SEASONAL_VACANT,"For seasonal, recreational, or occasional use",Number,"For seasonal, recreational, or occasional use","Occupancy, Tenure, Value, and Rent",2,0,158,"<span class='myHiddenClass'>14</span>Occupancy, Tenure, Value, and Rent",,,TRUE,,
ALL_OTHER_VACANT,All other vacant,Number,All other vacant,"Occupancy, Tenure, Value, and Rent",2,0,159,"<span class='myHiddenClass'>14</span>Occupancy, Tenure, Value, and Rent",,,TRUE,,
TOTAL_OCCUPIED_HU,Occupied Housing Units,Number,Occupied Housing Units,Vehicles Available,0,1,160,<span class='myHiddenClass'>15</span>Vehicles Available,,,TRUE,,
NO_VEHICLE,No vehicle available,Number,No vehicle available,Vehicles Available,1,0,161,<span class='myHiddenClass'>15</span>Vehicles Available,Vehicles,pie,TRUE,,TOTAL_OCCUPIED_HU
ONE_VEHICLE,1 vehicle available,Number,1 vehicle available,Vehicles Available,1,0,162,<span class='myHiddenClass'>15</span>Vehicles Available,Vehicles,pie,TRUE,,TOTAL_OCCUPIED_HU
TWO_VEHICLES,2 vehicles available,Number,2 vehicles available,Vehicles Available,1,0,163,<span class='myHiddenClass'>15</span>Vehicles Available,Vehicles,pie,TRUE,,TOTAL_OCCUPIED_HU
THREE_PLUS_VEHICLES,3 or more vehicles available,Number,3 or more vehicles available,Vehicles Available,1,0,164,<span class='myHiddenClass'>15</span>Vehicles Available,Vehicles,pie,TRUE,,TOTAL_OCCUPIED_HU
